athlete_certification_key,person_key,club_key,certification_type_key,person_type_key,has_certificate
7344,14709,27,1,1,1
7345,14710,27,1,1,1
7346,14713,27,1,1,1
7347,14714,27,1,1,1
7348,14715,27,1,1,1
7349,14716,27,1,1,1
7350,14717,27,1,1,1
7351,14719,27,1,1,1
7352,14723,27,1,1,1
7353,14724,27,1,1,1
7354,14727,27,1,1,1
7355,14728,27,1,1,1
7356,14730,119,1,1,1
7357,14731,119,1,1,1
7358,14732,119,1,1,1
7359,14734,119,1,1,1
7360,14735,119,1,1,1
7361,14738,119,1,1,1
7362,14740,119,1,1,1
7363,14745,119,1,1,1
7364,14746,119,1,1,1
7365,14747,119,1,1,1
7366,14748,119,1,1,1
7367,14749,119,1,1,1
7368,14750,119,1,1,1
7369,14751,119,1,1,1
7370,14752,119,1,1,1
7371,14753,119,1,1,1
7372,14755,6,1,1,1
7373,14756,6,1,1,1
7374,14763,6,1,1,1
7375,14766,6,1,1,1
7376,14767,6,1,1,1
7377,14768,6,1,1,1
7378,14771,6,1,1,1
7379,14772,6,1,1,1
7380,14773,6,1,1,1
7381,14776,86,1,1,1
7382,14777,86,1,1,1
7383,14778,86,1,1,1
